mip19,mip19_cat
economie,NA
finances,NA
agriculture,NA
l'environnement,environment
utilisation de la banque du canada pour financé les programmes sociaux.,NA
notre identité québécoise,NA
environnement,environment
environment,environment
reduire les impots,taxes
la sante,NA
baisse d'impôt,NA
économie,NA
sante,NA
the environment,environment
don't know,NA
éducation et santé,health care
l'économie,NA
immigration,immigration
pays,NA
l environnement,environment
enviromnnement,NA
environement et justice social,environment
taxes,taxes
climate change. the way to gap. education (secondary education). cuts of funding. basic human rights.,environment
lidership,NA
la perte de biodiversité et la crise climatique,NA
l'ecologie,environment
lenvironement,environment
environmental,environment
famille - classe moyenne,NA
"enfants et personnes 'gées, besoin de davantage de soutien",NA
ils font entrer des mauvais immigrants et je n'aime pas ça. les bons je n'ai rien contre.,immigration
plateforme sociale des partis,NA
santé,health care
non suivie,NA
intégrité du canada,NA
"pas oublier les jeunes enfants. des garderies et écoles primaires et secondaires. (aider la jeunesse ã  poursuivre les études).les vieilles personnes, les dents et les lunettes ça coûte cher.",NA
economic,NA
environement,environment
je trouve qu'on paie beaucoup de taxes et d'impôt.,taxes
foreign ownership of land in canada,NA
tout ce qui touche la famille,NA
gestion des finances,NA
qu'on respecte les promesses,NA
léconomie,NA
lintegrite des politiciens,NA
comme je suis une immigrante de nationalité marocaine résidente depuis 14 ans au canada c'est de combatre le racisme en général.,immigration
equality,NA
le systeme archaique de la justice,NA
democratie et vos droit en tant que canadien,NA
les changements climatiques,NA
classe moyenne,NA
l'environnement et politique sociales,environment
les enjeux climatiques et autochtones,NA
l.écologie,NA
l'immigration,immigration
economy budget,NA
women issues,NA
l'éducation,NA
famille,NA
la politique au quebec,NA
l emploi,NA
je pas l'impression que cela viens me chercher personelement,NA
"health, economy, housing",health care
moins de taxes et d'impot et l'innégalité entre les classes de la population.,taxes
protection du pays,NA
economy,NA
les finances,NA
corruption,NA
éducation,NA
la défense du québec,NA
pas satisfait pour le pot,NA
l'economie,NA
droit humain,NA
changement climatique et la democratiel'acces a de l'information neutre et non partisane.,NA
climate change,environment
economic growth,NA
green initiatives,NA
no sure,NA
fair wages,NA
i think equality without special interest groups.,NA
get of rid of trudeau,leadership
afforable housing,NA
spending allocations,NA
"want someone to be elected who cares more about the general public, increasing our economy",NA
"environment, jobs, healthcare",environment
climate change.,environment
"student going back to school, promises made by trudeau. it's very expensive and people want to start their lives and live comfortably. finding a place to live...to rent..it's really expensive. i was lucky to get funding from the government and that helped a lot but i still needed to work to pay expenses; rent, loans, bill. helping out the next generation. housing - prices are really high and it's difficult - the kind of money we are making is not the greatest. i worry about my parents and can they feel confident to retire and can they put aside for the children. they don't want to leave and then feeling ...everything is so expensive. i want to make sure i can bury my parents and my parents don't want to feel they didn't leave something. worked all they lives to support me.",leadership
getting government spending under control,NA
not comfortable with anyone who is anti-abortion,NA
stopping the pipeline.,environment
health care,health care
inequality,NA
middle class not paying a ton of taxes,taxes
equal rights for everyone,NA
issues around students.,NA
get rid of justin trudeau,leadership
conditon of seniors,NA
"preservation of natural resource, improved state for the future of the country.",NA
school funding,NA
i would say climate change,environment
"making cutbacks, savings and budget.",NA
healthcare and tuition payback.,health care
healthcare,health care
balancing the budget.,NA
"that they do something for the senior's, they do for everyone else but seniors get very little",NA
income and equality,NA
aceess to broadband in rural communities,NA
affordable houses,NA
i don't like conservative and what the party stands for,NA
tax issues,taxes
wealth distribution,NA
economy and social well being,NA
