occupation,n
,2194
prefer not to say,93
self employed,33
retired,32
teacher,29
sales,25
engineer,24
student,23
truck driver,17
carpenter,11
nurse,11
registered nurse,11
accountant,10
project manager,10
self-employed,10
business owner,9
enseignante,9
lawyer,9
manager,9
retail,9
electrician,8
professor,8
software developer,8
management,7
physician,7
administration,6
consultant,6
fonctionnaire,6
paramedic,6
public servant,6
agriculture,5
artist,5
banker,5
construction,5
educational assistant,5
enseignante au secondaire,5
farmer,5
graphic designer,5
insurance,5
it,5
analyst,4
contractor,4
customer service,4
educator,4
engineering,4
entrepreneur,4
financial advisor,4
financial planner,4
heavy equipment operator,4
mechanic,4
millwright,4
office manager,4
school bus driver,4
semi-retired,4
social worker,4
administrative,3
analyste,3
architect,3
autonome,3
charpentier-menuisier,3
clerical,3
clerk,3
computer programmer,3
construction worker,3
counsellor,3
don't know,3
driver,3
economist,3
education assistant,3
enseignant,3
equipment operator,3
home care worker,3
human resources,3
infirmiã¨re,3
labourer,3
legal assistant,3
musician,3
oil and gas industry,3
paralegal,3
policier,3
program manager,3
realtor,3
retraitã©,3
retraitã©e,3
school teacher,3
scientist,3
small business owner,3
technician,3
technicien,3
unemployed,3
welder,3
actuary,2
administrative assistant,2
administrator,2
agriculteur,2
ãlectricien,2
analyste en informatique,2
archivist,2
automotive technician,2
avocate,2
biologist,2
businessman,2
chemist,2
college student,2
commis d'entrepot,2
communication,2
consultant en informatique,2
courtier immobilier,2
customer service representative,2
designer,2
directeur gã©nã©ral,2
educatrice,2
electrical engineer,2
electronics technician,2
enseignant au secondaire,2
enseignante au primaire,2
enseignante secondaire,2
federal public servant,2
finance,2
financial services,2
flight attendant,2
fonction publique,2
geologist,2
gestionnaire,2
healthcare,2
information technology,2
iron worker,2
judge,2
laborer,2
labour,2
law enforcement,2
library assistant,2
library technician,2
mã©canicien industriel,2
mã©decin,2
maintenance,2
management consultant,2
mechanical engineer,2
medical doctor,2
military,2
office clerk,2
operations manager,2
peace officer,2
personal support worker,2
pipe fitter,2
planificateur financier,2
professional,2
psychologist,2
purchaser,2
real estate appraiser,2
reprã©sentante,2
sales rep,2
secrã©taire,2
secretary,2
security guard,2
semi retired,2
service manager,2
software engineer,2
software manager,2
stay at home mom,2
supervisor,2
support worker,2
systems administrator,2
technicienne comptable,2
travailleuse sociale,2
"""girl friday"" for a small business",1
911,1
911 operator,1
ã©conomiste,1
ã©ducation - niveau collã©gial,1
ã©ducatrice,1
able seaman on a lake freigh8,1
academic,1
account manager,1
account payable clerk,1
account service representative,1
accountant cpa,1
accounting,1
accounting coordinator,1
accounts payable,1
accounts payable officer,1
accredited music therapist,1
acupuncturist and i work on medial cannabis farm,1
adjointe juridique,1
adjointe-administrative,1
admin assistant,1
administrateur informatique,1
administration ã©ducation,1
administration assistant,1
administration assistant in health care ( hospital),1
administration part time retired from full time work,1
"administration, accountant",1
administration. rã©seau de la santã©,1
administrations,1
administrative clerk,1
administrative department,1
administrative manager for a university,1
administrative officer,1
ãducatrice ãâ  l'enfance,1
ãducatrice en service de garde,1
advocat,1
aeroplane pilot,1
aerospace engineer,1
agent administratif pour ciusss,1
agent de bureau au gouvernement du quã©bec.,1
agente administrative,1
agente administrative classe ii,1
agente au dã©veloppement des affaires le groupe bocage,1
agente de bureau,1
agente de centre d'appels dans le ministere de la defense,1
agente de planification programmation recherche,1
agricultrice,1
agricultural sales,1
agriculture assistant,1
agriculture labourer,1
aide ãâ  domicile,1
air traffic specialist,1
aircraft maintenance engineer,1
aircraft maintenance engineer apprentice,1
aircraft mechanic,1
ãlagueur,1
alcohol and drug worker,1
ãlectrotechnicienne,1
amazon warehouse associate,1
analyste programmeur en informatique au gouvernement provincial.,1
"analyste, recherchiste",1
animatrice de vie spirituelle et d'engagement communautaire,1
applicateur cimentier,1
aquaculturalist,1
aquatics recreation,1
architecte de solution,1
architectural technologist line cook,1
arpenteur,1
artiste,1
assistant manager,1
assistante technicienne en laboratoire,1
ãtudiant,1
ãtudiante,1
aucun,1
auto mechanic,1
automotive sales,1
auxiliaire familiale,1
ãvaluateur agrã©ã© (immeuble),1
aviation -account manager,1
avocat,1
bank consultant,1
banque,1
banquiã¨re,1
barber,1
bibliothequere,1
biologist business owner,1
biologiste,1
biomedical engineering technologist,1
boilermaker,1
book-keeper,1
bookseller,1
border services officer,1
branch manager at a financial institution,1
brewer,1
brigadiã¨re scolaire,1
budget coordinator,1
building contractor,1
building technologist,1
bus driver,1
business broker,1
business development,1
business development. sales business,1
business man,1
"business man, truck driver, farmer",1
business manager,1
business owner (private college),1
business owner insurance,1
business transformation architect,1
buyer,1
buyer / production coordinator,1
bylaw officer,1
cad operator draftsman,1
"cadre dans la fonction publique fã©dã©rale, directeur adjoint",1
cafe and cafeteria worker,1
cahier,1
call business in telecom,1
camionneur,1
